Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value,Level
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by nuclear,0.00030493373286735845,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by hydro,0.011572062168381119,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by wind,0.295758383307642,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by petroleum and other oil derivatives,2.864698280546139,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by biomass and waste,0.31035550732310296,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by solar photovoltaic,0.00018294339497299778,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by solar thermal,31.580496367916265,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,ES,Activity,Production of electricity nec,1.5812492209300315,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by coal,1.4181870150502267,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by gas,0.676332958740821,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by nuclear,0.00424929194248606,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by hydro,0.006589813561345373,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by wind,1.0643437201774388,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by petroleum and other oil derivatives,1.2876620479742307,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by biomass and waste,0.07641279573206888,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by solar photovoltaic,18.422133251712,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,"Production of electricity by tide, wave, ocean",0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FI,Activity,Production of electricity nec,17.393346504005834,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by coal,3.745280116850988,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by gas,1.0819281345945884,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by nuclear,0.0004593135313808125,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by hydro,0.0007567787387176338,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by wind,0.39182096889396856,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by petroleum and other oil derivatives,0.8215083580744613,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by biomass and waste,0.007250982862722297,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by solar photovoltaic,0.49155969421252954,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by solar thermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,"Production of electricity by tide, wave, ocean",5.1527819417612495e-05,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity by Geothermal,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,FR,Activity,Production of electricity nec,2.9098864003335875e-05,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by coal,3.8807233595797705,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by gas,1.5373703547724562,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by nuclear,0.0,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by hydro,0.0003104612259237511,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by wind,7.264655032874566e-05,Activity
EXIOBASE,3.8.2,SUT,2022,Intensity,GHG,kg CO2eq/EUR,GR,Activity,Production of electricity by petroleum and other oil derivatives,4.175085384807474,Activity
