Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value,Type
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LU,Activity,"Electric power generation, transmission and distribution",38.695467158067686,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LV,Activity,"Electric power generation, transmission and distribution",147.12668534785973,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,MT,Activity,"Electric power generation, transmission and distribution",246.1701732572122,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,NL,Activity,"Electric power generation, transmission and distribution",305.6306023561678,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,PL,Activity,"Electric power generation, transmission and distribution",629.1953345875035,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,PT,Activity,"Electric power generation, transmission and distribution",282.50989616278133,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,RO,Activity,"Electric power generation, transmission and distribution",311.9362181817036,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SK,Activity,"Electric power generation, transmission and distribution",238.9503519502534,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SI,Activity,"Electric power generation, transmission and distribution",211.21727840576696,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SE,Activity,"Electric power generation, transmission and distribution",48.32547943171205,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,US,Activity,"Electric power generation, transmission and distribution",412.9973490195387,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,AT,Sector,Electricity & transmission,18.74757244158826,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,BE,Sector,Electricity & transmission,103.12520126504494,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,BG,Sector,Electricity & transmission,407.88237701680015,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,CY,Sector,Electricity & transmission,442.8285894779,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,CZ,Sector,Electricity & transmission,253.69957788881408,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,DE,Sector,Electricity & transmission,151.61480339963995,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,DK,Sector,Electricity & transmission,6.813210682103301,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,EE,Sector,Electricity & transmission,238.3839145365367,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,ES,Sector,Electricity & transmission,189.77544864411232,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,FI,Sector,Electricity & transmission,51.81637628766837,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,FR,Sector,Electricity & transmission,37.794933114997896,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,HR,Sector,Electricity & transmission,113.71921152364638,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,HU,Sector,Electricity & transmission,132.03534801973777,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,IE,Sector,Electricity & transmission,304.7048766265003,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,IT,Sector,Electricity & transmission,175.58854835747204,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,LT,Sector,Electricity & transmission,8.134388036577842,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,LU,Sector,Electricity & transmission,1.5096811821445966,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,LV,Sector,Electricity & transmission,13.095885256927719,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,MT,Sector,Electricity & transmission,52.229001651191226,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,NL,Sector,Electricity & transmission,196.3195813534312,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,PL,Sector,Electricity & transmission,372.21185914443504,Monetary
EXIOBASE,3.10.2,IOT,2017,pxp,Intensity,GHG,g/kWh,PT,Sector,Electricity & transmission,139.95623646188645,Monetary
