Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NIC,Sector,"Electricity, Gas and Water",0.0026865033220568836
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NER,Sector,"Electricity, Gas and Water",0.0016287015478760472
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NGA,Sector,"Electricity, Gas and Water",0.0010566388374502098
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NOR,Sector,"Electricity, Gas and Water",0.00042378589160237904
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PSE,Sector,"Electricity, Gas and Water",0.0001317411919949494
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,OMN,Sector,"Electricity, Gas and Water",0.0028456259430198957
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PAK,Sector,"Electricity, Gas and Water",0.00399035508205003
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PAN,Sector,"Electricity, Gas and Water",0.0022778422789695614
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PNG,Sector,"Electricity, Gas and Water",0.0011975381326218711
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PRY,Sector,"Electricity, Gas and Water",0.0003723834625218528
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PER,Sector,"Electricity, Gas and Water",0.0017856787497075905
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PHL,Sector,"Electricity, Gas and Water",0.0026474141887530833
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,POL,Sector,"Electricity, Gas and Water",0.004499539985034497
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PRT,Sector,"Electricity, Gas and Water",0.0019539559327939366
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,QAT,Sector,"Electricity, Gas and Water",0.0030941575255953053
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,KOR,Sector,"Electricity, Gas and Water",0.002853231974004762
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MDA,Sector,"Electricity, Gas and Water",0.5777274547251218
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ROU,Sector,"Electricity, Gas and Water",0.0014606535510823487
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,RUS,Sector,"Electricity, Gas and Water",0.006952985975926212
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,RWA,Sector,"Electricity, Gas and Water",0.0039982460772806285
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,WSM,Sector,"Electricity, Gas and Water",0.035908575328641834
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SMR,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,STP,Sector,"Electricity, Gas and Water",0.11275318219467947
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SAU,Sector,"Electricity, Gas and Water",0.005045864561890208
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SEN,Sector,"Electricity, Gas and Water",0.0025700233519715676
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SRB,Sector,"Electricity, Gas and Water",0.00014645762554777993
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SYC,Sector,"Electricity, Gas and Water",0.015513080599853582
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SLE,Sector,"Electricity, Gas and Water",0.010058836798658963
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SGP,Sector,"Electricity, Gas and Water",0.0010499962706236189
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SVK,Sector,"Electricity, Gas and Water",0.0005601587980382817
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SVN,Sector,"Electricity, Gas and Water",0.004095674491745711
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SOM,Sector,"Electricity, Gas and Water",0.036141316647573314
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ZAF,Sector,"Electricity, Gas and Water",0.01914901790771094
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SDS,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ESP,Sector,"Electricity, Gas and Water",0.0014968355507271785
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LKA,Sector,"Electricity, Gas and Water",0.0007224293754297269
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SUD,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SUR,Sector,"Electricity, Gas and Water",0.0070548545123928115
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SWZ,Sector,"Electricity, Gas and Water",0.0038194674086336126
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SWE,Sector,"Electricity, Gas and Water",0.0006266345814991674
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,CHE,Sector,"Electricity, Gas and Water",9.263912906437509e-05
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SYR,Sector,"Electricity, Gas and Water",0.003863902829821603
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TWN,Sector,"Electricity, Gas and Water",0.013042386023307229
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TJK,Sector,"Electricity, Gas and Water",0.01006346529043732
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,THA,Sector,"Electricity, Gas and Water",0.0031128651452518967
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MKD,Sector,"Electricity, Gas and Water",0.010267255825636017
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TGO,Sector,"Electricity, Gas and Water",0.007799122435293878
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TTO,Sector,"Electricity, Gas and Water",0.013432010073053975
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TUN,Sector,"Electricity, Gas and Water",0.005689637263903142
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TUR,Sector,"Electricity, Gas and Water",0.004714635891453112
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TKM,Sector,"Electricity, Gas and Water",0.029303727321334735
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,USR,Sector,"Electricity, Gas and Water",11.861054749883435
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,UGA,Sector,"Electricity, Gas and Water",0.0016601214835682168
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,UKR,Sector,"Electricity, Gas and Water",0.006211564411623397
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ARE,Sector,"Electricity, Gas and Water",0.002311508541250366
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GBR,Sector,"Electricity, Gas and Water",0.001589860090215791
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,TZA,Sector,"Electricity, Gas and Water",0.0006294838161254051
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,USA,Sector,"Electricity, Gas and Water",0.004300569423363668
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,URY,Sector,"Electricity, Gas and Water",0.0023451535321969454
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,UZB,Sector,"Electricity, Gas and Water",0.01985630383004854
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,VUT,Sector,"Electricity, Gas and Water",0.03729127063157844
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,VEN,Sector,"Electricity, Gas and Water",0.0024099752539908626
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,VNM,Sector,"Electricity, Gas and Water",0.006457694965378578
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,YEM,Sector,"Electricity, Gas and Water",0.003311635018879538
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ZMB,Sector,"Electricity, Gas and Water",0.0007808236861082034
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ZWE,Sector,"Electricity, Gas and Water",0.008580834379113977
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/current 000 US$,AFG,Sector,"Electricity, Gas and Water",0.00488031040449431
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/current 000 US$,ALB,Sector,"Electricity, Gas and Water",0.004142761511498925
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/current 000 US$,DZA,Sector,"Electricity, Gas and Water",0.0027439290727018454
EORA26,199.82,IOT,2017,Footprint,GHG,Gg CO2eq/current 000 US$,AND,Sector,"Electricity, Gas and Water",0.0008416162289948295
